Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014015,2024,11,29,24.2,1,N
IDCJAC0011,014015,2024,11,30,25.6,1,N
IDCJAC0011,014015,2024,12,01,24.5,1,N
IDCJAC0011,014015,2024,12,02,28.0,1,N
IDCJAC0011,014015,2024,12,03,23.7,1,N
IDCJAC0011,014015,2024,12,04,25.5,1,N
IDCJAC0011,014015,2024,12,05,25.1,1,N
IDCJAC0011,014015,2024,12,06,25.3,1,N
IDCJAC0011,014015,2024,12,07,25.3,1,N
IDCJAC0011,014015,2024,12,08,25.1,1,N
IDCJAC0011,014015,2024,12,09,24.8,1,N
IDCJAC0011,014015,2024,12,10,26.6,1,N
IDCJAC0011,014015,2024,12,11,26.0,1,N
IDCJAC0011,014015,2024,12,12,27.7,1,N
IDCJAC0011,014015,2024,12,13,25.6,1,N
IDCJAC0011,014015,2024,12,14,24.9,1,N
IDCJAC0011,014015,2024,12,15,27.6,1,N
IDCJAC0011,014015,2024,12,16,27.6,1,N
IDCJAC0011,014015,2024,12,17,24.4,1,N
IDCJAC0011,014015,2024,12,18,23.8,1,N
IDCJAC0011,014015,2024,12,19,23.1,1,N
IDCJAC0011,014015,2024,12,20,27.0,1,N
IDCJAC0011,014015,2024,12,21,25.2,1,N
IDCJAC0011,014015,2024,12,22,29.0,1,N
IDCJAC0011,014015,2024,12,23,25.6,1,N
IDCJAC0011,014015,2024,12,24,24.4,1,N
IDCJAC0011,014015,2024,12,25,23.8,1,N
IDCJAC0011,014015,2024,12,26,25.8,1,N
IDCJAC0011,014015,2024,12,27,26.3,1,N
IDCJAC0011,014015,2024,12,28,24.6,1,N
IDCJAC0011,014015,2024,12,29,24.8,1,N
IDCJAC0011,014015,2024,12,30,25.9,1,N
IDCJAC0011,014015,2024,12,31,23.9,1,N
